days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
61,647.0,1.0,437.0,5.0,164.0,4.0,39.0,753.0,3.0,4.0,2195.0,169.0
62,458.0,1.0,464.0,31.0,164.0,256.0,20.0,760.0,0.0,0.0,1909.0,138.0
63,579.0,2.0,420.0,57.0,185.0,94.0,92.0,641.0,0.0,6.0,1731.0,198.0
64,275.0,0.0,415.0,147.0,244.0,48.0,77.0,385.0,0.0,4.0,1190.0,215.0
65,217.0,2.0,260.0,69.0,213.0,63.0,123.0,546.0,1.0,1.0,1379.0,134.0
66,187.0,1.0,333.0,117.0,229.0,40.0,23.0,522.0,0.0,3.0,2242.0,135.0
67,614.0,1.0,382.0,28.0,179.0,49.0,13.0,544.0,1.0,3.0,2314.0,103.0
68,447.0,2.0,323.0,5.0,143.0,51.0,41.0,516.0,1.0,7.0,1929.0,123.0
69,352.0,1.0,285.0,19.0,123.0,117.0,24.0,389.0,0.0,0.0,1763.0,139.0
70,350.0,1.0,269.0,45.0,176.0,40.0,41.0,369.0,0.0,0.0,1468.0,98.0
71,411.0,2.0,474.0,88.0,184.0,12.0,78.0,242.0,0.0,1.0,978.0,146.0
72,67.0,0.0,174.0,40.0,217.0,95.0,63.0,437.0,0.0,1.0,1042.0,92.0
73,146.0,2.0,195.0,54.0,138.0,0.0,59.0,367.0,0.0,0.0,1598.0,103.0
74,500.0,2.0,236.0,67.0,104.0,72.0,25.0,426.0,0.0,2.0,1727.0,98.0
75,328.0,1.0,369.0,6.0,0.0,38.0,33.0,289.0,1.0,3.0,1796.0,99.0
76,273.0,1.0,274.0,31.0,146.0,21.0,22.0,217.0,0.0,0.0,1668.0,97.0
77,291.0,0.0,243.0,96.0,69.0,0.0,26.0,197.0,0.0,3.0,1198.0,77.0
78,220.0,0.0,194.0,95.0,110.0,24.0,63.0,133.0,0.0,3.0,820.0,87.0
79,379.0,0.0,165.0,46.0,52.0,0.0,56.0,306.0,0.0,2.0,1227.0,67.0
80,104.0,0.0,179.0,84.0,688.0,80.0,42.0,330.0,1.0,4.0,1456.0,81.0
81,131.0,2.0,172.0,45.0,50.0,48.0,34.0,274.0,0.0,0.0,1501.0,71.0
82,422.0,1.0,195.0,0.0,74.0,0.0,26.0,178.0,1.0,2.0,1185.0,93.0
83,343.0,1.0,262.0,8.0,0.0,48.0,10.0,242.0,0.0,4.0,1217.0,55.0
84,274.0,0.0,242.0,65.0,283.0,74.0,15.0,79.0,0.0,1.0,1089.0,57.0
85,154.0,2.0,153.0,74.0,0.0,13.0,8.0,70.0,0.0,2.0,639.0,60.0
