days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
16,55.48645046645935,1.6632508276840612,56.23451692815855,37.166201673973696,109.95078108281619,13.932066781807714,21.672234395392557,40.01289748038508,10.970621048716994,27.902946273830157,37.89536381980405,184.82045160648562
17,66.05952909817859,1.686898943717484,66.58959537572255,39.9561578318055,128.01198373635782,15.659182498560735,24.138798089011818,46.430929386294885,11.528449237634808,31.02253032928943,42.96428658254929,225.55456082761364
18,77.31378646527469,1.7105470597509065,79.68620974401321,47.52889597449183,145.5809972180612,17.098445595854923,28.126010273357522,54.09264690076617,13.201933804388249,32.40901213171578,49.98115868037828,265.34367850392914
19,86.85028876055087,1.7499605864732777,90.43765483071842,58.888003188521324,165.1187673871175,18.134715025906736,31.2152016954632,67.60429301847103,14.131647452584604,35.18197573656846,56.411518731918406,305.8291057395802
20,95.26136531911743,1.7736087025067002,100.36333608587944,68.45356715823037,181.1256152364648,19.17098445595855,33.130979321575246,82.71277004099555,16.54890293789513,37.781629116117855,62.717282960153646,357.3560131304088
21,110.63231156523027,1.8051395238845973,112.63418662262593,79.01554404145078,200.87738069762466,20.43753598157743,32.75979740651604,99.90941055443811,18.78021569356638,41.074523396880416,69.07774779374225,404.75479956231965
22,125.94402487783208,1.8130222292290714,123.91412056151941,86.68792347548825,221.4423282687781,21.243523316062173,36.18424991319133,116.07732346573722,20.08181480104128,42.80762564991335,75.29538326890817,455.8838157763851
23,142.2775062934992,1.8287876399180198,135.6729975227085,88.38182542845756,239.63192809758186,22.337363270005756,38.24371086126178,124.0307697032044,21.011528449237634,45.060658578856156,80.67731505117546,505.4212672833979
24,159.33659114467645,1.8445530506069683,150.85053674649052,89.57752092467119,255.66017547613953,23.200921128382266,39.44107187758181,136.8207710850773,22.12718482707326,47.313691507798964,86.23246541706172,555.0084551875061
25,171.7606989486154,1.8603184612959167,165.532617671346,91.5703467516939,270.5114487481276,24.23719055843408,45.547613060813966,158.57759216324524,23.800669393826702,49.393414211438476,93.5380351542557,602.6061872077986
26,181.91914704575743,1.868201166640391,178.01816680429397,102.9294539657234,285.49111919537773,26.25215889464594,48.51706838128764,166.8841836969706,24.91632577166233,51.81975736568458,101.28424865679624,646.4736894459364
27,192.93647267880942,1.8760838719848651,191.42857142857144,119.86847349541651,300.5563877594693,27.288428324697755,52.109151430247735,187.47408988315496,25.846039419858684,53.552859618717505,107.70549194077748,696.359295732617
28,208.3962683251888,1.8918492826738136,205.25185796862098,132.82184137106418,316.54183607960624,29.188255613126078,53.39032771771017,202.62862933562621,27.891409445890666,55.632582322357024,115.64923540709405,742.9125634139062
29,220.86480082926107,1.8918492826738136,217.25846407927332,139.49780789159027,330.55852771239034,29.936672423719052,54.91097620843661,212.3785103410155,28.263294905169207,58.23223570190642,122.90010453893467,779.319606087735
30,236.1024729749741,1.907614693362762,229.81007431874485,150.55799123156638,344.12582923175694,30.9153713298791,58.215692613479895,220.99218474105237,29.936779471922648,59.96533795493934,126.6349403155617,819.3076693524321
31,249.94817118317783,1.9154973987072363,242.46077621800166,153.4475886807493,355.36058206719457,32.23949337938975,60.263179951387144,229.80546300419167,30.49460766084046,61.52512998266898,132.08980623830013,852.5315826121555
32,266.459351399378,1.9233801040517104,253.70767960363338,157.43324033479473,368.26449818104004,33.16062176165803,63.20868805153442,241.24429977429406,30.68055039047973,63.08492201039862,139.54428317895605,884.9597135183527
33,273.83385162150154,1.939145514740659,262.37819983484724,175.8668792347549,379.9700406591055,33.16062176165803,66.75287665984172,263.2928495754579,33.65563406470807,64.12478336221838,146.8164247684341,915.7465433204018
34,282.1116540796683,1.9470282200851332,272.8819157720892,193.00518134715026,386.38989942221275,33.16062176165803,68.96799454003377,274.85451949208493,33.84157679434734,66.55112651646448,154.2222789487759,946.9810006963095
35,299.46690359840073,1.9549109254296075,282.8571428571429,201.37504982064567,400.34239246736576,38.16925734024179,70.3689069291282,286.52366841192094,34.771290442543695,68.2842287694974,160.6587168453553,977.1709937332139
36,311.8613949355842,1.970676336118556,291.80842279108174,214.42805898764448,413.33190669805265,50.143926309729416,71.55429433528504,296.38102842051927,36.072889550018594,69.84402079722705,165.67293900274717,1005.2720580921117
37,322.62698060121426,1.970676336118556,301.88274153592073,218.41371064168993,428.0333832655682,50.834772596430625,73.35033585976508,302.3844984569086,37.00260319821495,72.44367417677644,169.60226582063063,1032.4778673032924
38,337.5092551458611,1.9864417468075044,311.2964492155244,218.6129932243922,428.91076396319284,51.81347150259067,75.60137457044674,310.7678607072118,37.374488657493494,73.13691507798961,173.92665256606617,1060.678404456381
39,349.99259588331114,2.0022071574964526,321.5194054500413,226.58429653248308,437.68457093943937,61.19746689694876,77.43333692541638,318.82878594788804,37.374488657493494,74.00346620450607,180.6760994821676,1084.4524022679796
40,356.2120539019695,2.010089862840927,328.63748967795215,234.65524113192507,446.22298309437195,78.92918825561313,79.30122011087563,327.1814399115601,38.118259576050576,75.21663778162912,188.27644470376583,1107.4803541231472
41,361.2172367836517,2.0179725681854013,337.9851362510322,245.3168593064966,455.4247806548256,90.04029936672423,80.65423805931727,335.10417786239617,38.30420230568985,76.77642980935876,195.26900542143775,1132.8459166417983
42,374.67792092403374,2.0179725681854013,347.9273327828241,257.67237943403745,464.7335758613311,90.32815198618307,81.5642324317205,341.0769396121543,38.49014503532912,78.33622183708839,200.94875161062893,1158.2114791604495
43,386.4504664593514,2.0179725681854013,357.47316267547484,264.34834595456357,474.14936871388835,90.32815198618307,82.21080738053331,346.742618495601,39.04797322424693,79.72270363951473,205.67731505117544,1174.5747538048342
44,396.4312157559603,2.0179725681854013,366.1436829066887,265.94260661618176,482.0029959340895,93.14910765687968,83.73145587125975,350.4583211779698,39.04797322424693,82.32235701906413,209.0079741326915,1185.765443151298
45,407.3745002221235,2.0179725681854013,375.63996696944673,266.9390195296931,490.09201797560456,95.2216465169833,83.73145587125975,357.16808180687553,39.2339159538862,83.88214904679377,212.98592371088904,1195.4143041878046
46,416.5704131497112,2.0337379788743495,383.6003303055326,275.90673575129534,496.2550823881875,98.10017271157167,87.10801393728224,362.8030524036911,39.2339159538862,85.4419410745234,219.99671796367878,1222.3216950164128
47,421.235006663705,2.041620684218824,390.75144508670525,284.3762455161419,503.3383265568158,98.84858952216464,88.50892632637667,369.35927159944106,39.79174414280401,87.17504332755634,227.46638951693285,1232.8658112006365
48,425.4997778764993,2.049503389563298,398.24938067712634,293.0450378636907,509.77958484913336,122.45250431778929,89.9218123256343,373.7966190176419,39.977686872443286,87.69497400346621,233.2980818321056,1244.8025465035312
49,435.76188360728565,2.049503389563298,407.0685383980182,302.90952570745316,519.4735715814253,123.4887737478411,90.38878312199911,377.14382226043693,40.16362960208256,89.08145580589256,238.5463010235091,1290.9579230080572
50,445.3724270694506,2.065268800252247,414.2857142857143,316.3611000398565,525.208645409801,133.96660909614278,90.62825532526313,379.69261005082217,40.34957233172183,90.46793760831889,243.040867430044,1303.3920222819058
51,453.3540648600622,2.065268800252247,421.94880264244426,320.84495815065765,525.208645409801,134.36960276338513,91.72982746027755,381.7654193984246,40.5355150613611,91.16117850953206,245.7120803248,1310.9519546404058
52,462.6240189545387,2.0731515055967207,428.8852188274154,321.3431646074133,537.12818317997,134.5998848589522,92.65179544284398,386.43307896635906,40.72145779100037,91.68110918544195,248.79050883718668,1322.192380383965
53,467.747667703243,2.0731515055967207,435.73905862923203,324.4320446392985,540.6377059704687,149.33793897524467,94.12454949291761,391.49994626049835,40.72145779100037,92.37435008665511,253.68925193883254,1332.8359693623793
54,471.71627424848214,2.0731515055967207,440.03303055326177,330.1115982463133,544.1472287609673,154.7495682210708,94.39994252667123,395.70698152896557,41.65117143919672,91.33448873483536,259.0195220382661,1343.0319307669351
55,474.82600325781135,2.081034210941195,445.53261767134603,344.75886807493026,548.1061416648834,157.51295336787564,94.55559945879283,398.4246648958221,42.39494235775381,92.37435008665511,264.41057058809224,1356.9083855565502
56,484.1107655856656,2.081034210941195,451.84145334434356,351.63411717815865,553.3276267922106,161.13989637305698,95.04651747548404,402.1557217215065,42.580885087393085,93.06759098786829,269.45822089320006,1365.1646274743857
57,491.42603287427806,2.0967996216301437,457.17588769611893,363.29214826624155,557.8857265140167,163.4427173287277,95.33388411940085,403.36869904343683,43.138713276310895,93.06759098786829,273.17482313470936,1373.5700785835072
58,497.76395675995855,2.0967996216301437,461.88274153592073,366.08210442407335,562.7862187031885,166.26367299942427,95.82480213609206,404.443489075527,43.138713276310895,94.10745233968805,275.4600928694722,1380.4337013826716
59,503.4503183770176,2.1046823269746175,466.32535094962844,366.580310880829,566.6167344318426,169.19976971790442,96.75874372882168,408.48162876752286,43.138713276310895,94.80069324090123,277.8000632095884,1390.2815080075598
60,510.3805715978084,2.120447737663566,474.15359207266727,368.4734954165006,569.6768671089236,175.9355210132412,97.5130811691033,413.80951649802694,43.138713276310895,94.97400346620451,282.51343203753675,1400.9748333830696
61,512.8979712720272,2.120447737663566,477.02725020644095,372.95735352730173,572.3090092017976,178.2383419689119,98.21952416873212,415.05320210658846,43.32465600595017,95.4939341421144,287.2632679357207,1407.6395105938525
62,515.2672886124685,2.120447737663566,480.2477291494633,381.7257871662017,576.0753263428205,178.92918825561313,98.51886442281213,420.41179812372366,43.32465600595017,96.01386481802427,290.9950647898281,1414.3539242017307
63,523.3377758033466,2.120447737663566,484.1453344343518,385.7114388202471,580.0128397175263,184.39838802533103,98.91399355819773,422.00862902854334,43.51059873558944,97.22703639514732,294.8514574672404,1419.4767731025563
64,528.7131645194728,2.120447737663566,490.2394715111478,391.0920685532085,584.6565375561738,184.39838802533103,99.17741298178814,421.97792074191216,43.696541465228705,97.22703639514732,298.25808961174727,1425.5943499452899
65,533.718347401155,2.1283304430080405,494.76465730800993,397.76803507373455,587.6096725872031,188.54346574553827,99.48872684603135,430.8679697216293,43.696541465228705,97.22703639514732,300.10575450368316,1432.5077091415496
66,538.9160373167481,2.1362131483525144,498.7778695293146,398.3658828218414,589.8352236250803,190.73114565342544,100.24306428631297,432.87936249596953,43.696541465228705,97.40034662045062,301.6647217562541,1437.3818760568984
67,543.0919591292759,2.1440958536969887,501.98183319570603,401.4547628537266,589.8352236250803,191.94012665515254,100.91358645545219,429.54751339649,43.696541465228705,97.5736568457539,303.7463836822016,1444.643390032826
68,544.8393306678513,2.151978559041463,504.70685383980185,411.02032682343565,592.9595548897925,191.94012665515254,101.4164780823066,431.205760874572,43.696541465228705,97.5736568457539,308.33211776432546,1449.2191385656022
69,546.63112690656,2.151978559041463,507.66308835673,420.48624950179357,594.4361224053072,193.32181922855497,101.82358082785541,432.48015476976457,43.696541465228705,97.9202772963605,311.9241241825298,1454.3419874664278
70,548.6154301791796,2.151978559041463,510.50371593724196,425.0697489039458,596.7900706184464,193.32181922855497,102.13489469209863,433.61636137511704,43.696541465228705,98.44020797227037,315.46750784042007,1459.2161543817765
71,554.7164223308159,2.151978559041463,513.7241948802642,433.4396173774412,597.902846137385,197.92746113989637,102.25463079373063,434.27658953768673,43.88248419486798,98.44020797227037,318.3970291493448,1464.1400576942206
72,560.2991263142306,2.151978559041463,518.0511973575558,437.92347548824233,612.6257222341109,200.6908462867012,102.43423494617863,434.78327626710063,43.88248419486798,98.96013864818025,320.19303235844694,1468.9644882124737
73,565.0969939286243,2.151978559041463,522.0478943022296,437.92347548824233,613.6956986946287,200.6908462867012,102.53002382748423,436.16514916550227,43.88248419486798,99.48006932409012,322.53908054360244,1472.7941907888192
74,568.2807641048423,2.1598612643859374,524.5747316267548,438.72060581905146,615.2792638561953,203.45423143350604,102.99699462384905,437.2860016275392,43.88248419486798,99.82668977469672,325.6782875063817,1477.1212573361186
75,569.9540944765289,2.1756266750748856,526.9694467382329,445.19728975687525,574.2349668307297,207.71445020149682,103.39212375923465,438.29937508636704,43.88248419486798,100.51993067590989,328.68682080081686,1480.4535959415098
76,578.1874722345624,2.1756266750748856,528.6044591246904,452.5707453168593,580.2910335972609,208.4628670120898,103.66751679298825,439.29739440187933,44.06842692450725,100.51993067590989,331.753093623125,1484.4822441062367
77,582.985339848956,2.18350938041936,531.2799339388935,454.56357114388203,580.2910335972609,209.6718480138169,103.84712094543626,440.09580985428914,44.06842692450725,100.86655112651647,334.7008484671675,1488.0135283000097
78,588.3014956315711,2.18350938041936,533.9388934764658,462.2359505779195,580.3338326556816,212.43523316062175,103.99080426739467,440.9709960232768,44.25436965414652,101.55979202772964,336.7673157805168,1492.6390132298816
79,590.9077447060565,2.18350938041936,536.5152766308836,463.9298525308888,580.3766317141024,214.16234887737477,104.11054036902667,441.44697446605966,44.25436965414652,101.73310225303294,338.1378698368706,1495.3745150701282
80,596.1942840219161,2.18350938041936,538.6622625928984,464.2287764049422,580.4622298309438,214.16234887737477,104.60145838571788,441.8768904788957,44.25436965414652,102.07972270363952,339.6725257092845,1498.2094897045656
