days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
59,28752.0,234.0,24114.0,3220.0,24543.0,2327.0,7392.0,15712,228.0,527.0,60997.0,27282.0
60,29446.0,236.0,24648.0,3225.0,25100.0,2334.0,7510.0,17148,229.0,533.0,63518.0,27448.0
61,30098.0,237.0,25085.0,3256.0,25264.0,2338.0,7549.0,17901,232.0,537.0,65842.0,27617.0
62,30638.0,238.0,25549.0,3313.0,25428.0,2594.0,7569.0,18661,232.0,537.0,67733.0,27755.0
63,31265.0,240.0,25969.0,3460.0,25613.0,2688.0,7661.0,19303,232.0,543.0,69425.0,27953.0
64,31610.0,240.0,26384.0,3529.0,25857.0,2736.0,7738.0,19694,232.0,547.0,70546.0,28168.0
65,31879.0,242.0,26644.0,3646.0,26070.0,2799.0,7861.0,20240,233.0,548.0,71879.0,28302.0
66,32090.0,243.0,26977.0,3674.0,26299.0,2839.0,7884.0,20765,233.0,551.0,74197.0,28437.0
67,32720.0,244.0,27359.0,3679.0,26478.0,2888.0,7897.0,21309,234.0,554.0,76560.0,28540.0
68,33216.0,246.0,27682.0,3698.0,26621.0,2939.0,7938.0,21825,235.0,561.0,78496.0,28663.0
69,33644.0,247.0,27967.0,3743.0,26744.0,3056.0,7962.0,22214,235.0,561.0,80243.0,28802.0
70,34028.0,248.0,28236.0,3831.0,26920.0,3096.0,8003.0,22583,235.0,561.0,81731.0,28900.0
71,34508.0,250.0,28710.0,3871.0,27104.0,3108.0,8081.0,22825,235.0,562.0,82625.0,29046.0
72,34678.0,250.0,28884.0,3925.0,27321.0,3203.0,8144.0,23262,235.0,563.0,83640.0,29138.0
73,34838.0,252.0,29079.0,3992.0,27459.0,3203.0,8203.0,23629,235.0,563.0,85266.0,29241.0
74,35386.0,254.0,29315.0,3998.0,27563.0,3275.0,8228.0,24056,235.0,565.0,87029.0,29339.0
75,35755.0,255.0,29684.0,4029.0,27563.0,3313.0,8261.0,24345,236.0,568.0,88812.0,29438.0
76,36093.0,256.0,29958.0,4125.0,27709.0,3334.0,8283.0,24563,236.0,568.0,90493.0,29535.0
77,36451.0,256.0,30201.0,4220.0,27778.0,3334.0,8309.0,24729,236.0,571.0,91709.0,29612.0
78,36734.0,256.0,30395.0,4266.0,27888.0,3358.0,8372.0,24864,236.0,574.0,92467.0,29699.0
79,37175.0,256.0,30560.0,4350.0,27940.0,3358.0,8428.0,25168,236.0,576.0,93243.0,29766.0
80,37297.0,256.0,30739.0,4395.0,28628.0,3438.0,8470.0,25498,237.0,580.0,94798.0,29847.0
81,37433.0,258.0,30911.0,4395.0,28678.0,3486.0,8504.0,25772,237.0,580.0,96377.0,29918.0
82,37876.0,259.0,31106.0,4403.0,28752.0,3486.0,8530.0,25949,238.0,582.0,97611.0,30011.0
83,38292.0,260.0,31368.0,4468.0,26834.0,3534.0,8540.0,26192,238.0,586.0,98884.0,30066.0
84,38665.0,260.0,31610.0,4542.0,27117.0,3608.0,8555.0,26271,238.0,587.0,100014.0,30123.0
85,38895.0,262.0,31763.0,4562.0,27117.0,3621.0,8563.0,26341,238.0,589.0,100628.0,30183.0
86,39010.0,262.0,31908.0,4639.0,27119.0,3642.0,8602.0,26604,239.0,593.0,101151.0,30239.0
87,39121.0,263.0,32007.0,4656.0,27121.0,3690.0,8635.0,26951,239.0,593.0,101846.0,30309.0
88,39447.0,263.0,32169.0,4659.0,27125.0,3720.0,8658.0,27032,239.0,593.0,103364.0,30376.0
89,39812.0,263.0,32330.0,4694.0,27127.0,3720.0,8673.0,27381,242.0,593.0,104556.0,30431.0
90,39989.0,264.0,32486.0,4717.0,27127.0,3828.0,8685.0,27485,242.0,594.0,105727.0,30511.0
91,40347.0,264.0,32616.0,4795.0,27127.0,3874.0,8695.0,27483,242.0,597.0,106706.0,30565.0
92,40554.0,266.0,32735.0,4814.0,27128.0,3896.0,8736.0,28062,242.0,597.0,107297.0,30605.0
93,40631.0,266.0,32785.0,4854.0,27133.0,3929.0,8752.0,28193,242.0,598.0,108074.0,30645.0
